url_1,url_2,similarity,word_count_1,word_count_2
https://www.cm-alliance.com/cybersecurity-blog,https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.connectwise.com/blog/phishing-prevention-tips,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.phriendlyphishing.com/blog,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.hpe.com/us/en/what-is/sd-wan.html,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://remotedesktop.google.com/,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://support.microsoft.com/en-us/windows/how-to-use-remote-desktop-5fe128d5-8fb1-7a23-3b8a-41e636865e8c,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.cloudflare.com/learning/access-management/what-is-ztna/,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.microsoft.com/en-us/security/business/security-101/what-is-zero-trust-network-access-ztna,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.akkio.com/beginners-guide-to-machine-learning,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://towardsdatascience.com/machine-learning-basics-with-examples-part-1-c2d37247ec3d,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.analyticsvidhya.com/blog/2021/09/comprehensive-guide-on-machine-learning/,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.investopedia.com/terms/s/seo.asp,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.dollardays.com/?srsltid=AfmBOopXjdOu2Kwq6fwYN9FPfB19MorSOf5UyS0EisxFSAzOm8wbl8KF,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.reuters.com/technology/artificial-intelligence/,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.cnbc.com/artificial-intelligence/,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.bbc.com/news/topics/c404v061z99t,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://www.theguardian.com/technology/artificialintelligenceai,1.0,0,0
https://www.cm-alliance.com/cybersecurity-blog,https://abcnews.go.com/alerts/technology,1.0,0,0
